starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:23:15 2016	1482438195644339	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195645317	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195646297	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195646297	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195647272	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195648251	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195648251	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195649227	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195649227	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195650205	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195651185	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195651692	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195652190	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195653191	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195653691	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195654193	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195654694	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195655193	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195656193	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195656693	0	4	4	4
Thu Dec 22 21:23:15 2016	1482438195657195	0	4	4	3
Thu Dec 22 21:23:15 2016	1482438195657695	1	3	4	2
Thu Dec 22 21:23:15 2016	1482438195658695	1	3	4	1
Thu Dec 22 21:23:15 2016	1482438195659696	1	3	4	2
Thu Dec 22 21:23:15 2016	1482438195661196	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195661696	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195662199	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195662698	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195663698	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195664198	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195664699	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195665199	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195665700	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195666700	0	1	1	0
Thu Dec 22 21:23:15 2016	1482438195666700	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195667682	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195667682	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195668659	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195669637	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195669637	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195670614	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195670614	1	2	3	0
Thu Dec 22 21:23:15 2016	1482438195672569	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195672569	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195673548	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195674524	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195675501	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195676479	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195676479	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195677459	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195678435	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195678435	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195679413	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195679413	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195680391	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195681368	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195682345	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195682345	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195683323	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195684301	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195684301	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195685279	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195686258	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195686258	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195687233	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195688212	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195688212	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195689188	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195690168	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195690168	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195691143	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195692121	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195693100	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195694075	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195694075	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195695055	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195695055	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195696033	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195697009	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195697009	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195697989	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195698964	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195698964	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195699943	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195699943	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195700919	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195701898	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195701898	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195702875	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195703852	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195704829	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195704829	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195705808	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195706784	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195707762	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195707762	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195708739	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195709717	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195710695	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195710695	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195711673	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195712650	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195712650	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195713629	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195714605	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195714605	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195715583	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195716560	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195716560	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195717538	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195718515	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195719494	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195719494	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195720471	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195721448	0	4	4	4
Thu Dec 22 21:23:15 2016	1482438195722425	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195722425	0	5	5	2
Thu Dec 22 21:23:15 2016	1482438195723405	0	4	4	4
Thu Dec 22 21:23:15 2016	1482438195724381	1	3	4	1
Thu Dec 22 21:23:15 2016	1482438195726336	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195727313	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195728291	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195728291	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195729269	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195730247	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195731224	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195732202	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195732202	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195733181	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195734156	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195734156	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195735134	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195736111	0	3	3	0
