starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:15:07 2016	1482437707443176	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707444157	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707445128	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707446105	0	3	3	0
Thu Dec 22 21:15:07 2016	1482437707447083	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707448062	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707449038	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707450016	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707450994	0	2	2	0
Thu Dec 22 21:15:07 2016	1482437707448062	0	6	6	2
Thu Dec 22 21:15:07 2016	1482437707450994	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707451971	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707452949	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707453927	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707454906	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707455881	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707456887	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707455881	0	5	5	3
Thu Dec 22 21:15:07 2016	1482437707457887	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707458389	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707459388	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707460390	0	5	5	2
Thu Dec 22 21:15:07 2016	1482437707461390	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707463393	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707462891	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707464391	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707465393	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707465893	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707466894	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707467393	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707468894	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707470896	0	2	2	2
