starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 15 23:08:59 2017	1484518139	0	1	1	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	0
Sun Jan 15 23:09:00 2017	1484518140	0	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	0	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	0	1	2	1
Sun Jan 15 23:08:55 2017	1484518135	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	0	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	0	1	2	1
Sun Jan 15 23:08:59 2017	1484518139	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	0	1	2	1
Sun Jan 15 23:08:59 2017	1484518139	1	1	2	1
Sun Jan 15 23:08:59 2017	1484518139	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	0	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	0	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	0	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:56 2017	1484518136	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	0	1	2	1
Sun Jan 15 23:08:56 2017	1484518136	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	0	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	0	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	0	1	2	1
Sun Jan 15 23:08:59 2017	1484518139	0	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	0	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	0	1	2	1
Sun Jan 15 23:08:59 2017	1484518139	1	1	2	0
Sun Jan 15 23:08:59 2017	1484518139	1	1	2	1
Sun Jan 15 23:08:56 2017	1484518136	1	1	2	1
Sun Jan 15 23:08:59 2017	1484518139	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	0	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	0	1	2	1
Sun Jan 15 23:08:59 2017	1484518139	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:08:56 2017	1484518136	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:56 2017	1484518136	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:56 2017	1484518136	1	1	2	1
Sun Jan 15 23:08:55 2017	1484518135	1	1	2	0
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	0	2	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
Sun Jan 15 23:08:56 2017	1484518136	1	1	2	1
Sun Jan 15 23:09:02 2017	1484518142	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:57 2017	1484518137	1	1	2	1
Sun Jan 15 23:09:00 2017	1484518140	1	1	2	1
Sun Jan 15 23:08:55 2017	1484518135	1	1	2	1
Sun Jan 15 23:09:01 2017	1484518141	1	1	2	1
Sun Jan 15 23:08:58 2017	1484518138	1	1	2	1
