starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:18:36 2016	1482437916181850	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916182829	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916182829	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916183806	0	3	3	0
Thu Dec 22 21:18:36 2016	1482437916184783	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916185761	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916186738	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916187715	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916188693	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916189671	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916190648	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916191627	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916192604	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916194559	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916195536	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916196514	0	12	12	1
Thu Dec 22 21:18:36 2016	1482437916197491	0	12	12	0
Thu Dec 22 21:18:36 2016	1482437916198469	0	12	12	11
Thu Dec 22 21:18:36 2016	1482437916199447	1	11	12	9
Thu Dec 22 21:18:36 2016	1482437916201401	7	4	11	1
Thu Dec 22 21:18:36 2016	1482437916209222	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916211178	0	3	3	3
Thu Dec 22 21:18:36 2016	1482437916211178	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916212155	0	6	6	1
Thu Dec 22 21:18:36 2016	1482437916213132	0	7	7	0
Thu Dec 22 21:18:36 2016	1482437916215087	0	6	6	6
Thu Dec 22 21:18:36 2016	1482437916216066	0	6	6	4
Thu Dec 22 21:18:36 2016	1482437916217043	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916218999	1	4	5	0
Thu Dec 22 21:18:36 2016	1482437916220953	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916221930	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916222908	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916223886	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916224864	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916226819	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916226819	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916227798	0	6	6	0
Thu Dec 22 21:18:36 2016	1482437916228774	0	6	6	5
Thu Dec 22 21:18:36 2016	1482437916230732	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916231706	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916232684	1	4	5	0
Thu Dec 22 21:18:36 2016	1482437916234640	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916235617	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916236595	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916236595	1	4	5	0
Thu Dec 22 21:18:36 2016	1482437916238550	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916239527	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916240506	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916241482	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916242461	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916243439	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916245420	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916245922	1	5	6	4
Thu Dec 22 21:18:36 2016	1482437916246922	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916248422	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916249423	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916250924	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916251925	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916252925	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916253425	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916254426	1	5	6	5
Thu Dec 22 21:18:36 2016	1482437916255928	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916256427	1	5	6	2
Thu Dec 22 21:18:36 2016	1482437916258429	0	6	6	2
Thu Dec 22 21:18:36 2016	1482437916258929	1	6	7	4
Thu Dec 22 21:18:36 2016	1482437916261413	0	6	6	3
Thu Dec 22 21:18:36 2016	1482437916261413	1	6	7	1
Thu Dec 22 21:18:36 2016	1482437916264345	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916265322	0	6	6	2
Thu Dec 22 21:18:36 2016	1482437916266300	0	6	6	3
Thu Dec 22 21:18:36 2016	1482437916269233	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916269233	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916270211	1	5	6	1
Thu Dec 22 21:18:36 2016	1482437916272166	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916273144	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916275099	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916275099	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916277054	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916277054	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916278032	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916279986	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916280965	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916281942	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916282919	0	6	6	2
Thu Dec 22 21:18:36 2016	1482437916282919	1	5	6	0
Thu Dec 22 21:18:36 2016	1482437916284874	0	9	9	7
Thu Dec 22 21:18:36 2016	1482437916285852	0	9	9	6
Thu Dec 22 21:18:36 2016	1482437916286830	1	8	9	3
Thu Dec 22 21:18:36 2016	1482437916289762	0	7	7	4
Thu Dec 22 21:18:36 2016	1482437916289762	3	4	7	3
Thu Dec 22 21:18:36 2016	1482437916294650	0	3	3	1
Thu Dec 22 21:18:36 2016	1482437916295628	0	3	3	0
Thu Dec 22 21:18:36 2016	1482437916296605	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916297583	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916298560	0	6	6	2
Thu Dec 22 21:18:36 2016	1482437916298560	0	11	11	1
Thu Dec 22 21:18:36 2016	1482437916299538	1	10	11	9
Thu Dec 22 21:18:36 2016	1482437916302471	0	8	8	8
Thu Dec 22 21:18:36 2016	1482437916302471	1	9	10	5
Thu Dec 22 21:18:36 2016	1482437916305403	4	4	8	0
Thu Dec 22 21:18:36 2016	1482437916310292	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916311269	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916312246	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916313223	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916314201	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916316157	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916317135	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916318112	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916319089	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916320067	0	6	6	5
Thu Dec 22 21:18:36 2016	1482437916321044	0	6	6	4
Thu Dec 22 21:18:36 2016	1482437916322024	0	6	6	3
Thu Dec 22 21:18:36 2016	1482437916323000	1	5	6	1
Thu Dec 22 21:18:36 2016	1482437916324954	1	4	5	3
